crypto,CoinName,Algorithm,IsTrading1,ProofType,TotalCoinsMined,TotalCoinSupply
42,42 Coin,Scrypt,1.0,PoW/PoS,42.0,42.0
404,404Coin,Scrypt,1.0,PoW/PoS,1055184902.0,532000000.0
1337,EliteCoin,X13,1.0,PoW/PoS,29279424622.5,314159265359.0
BTC,Bitcoin,SHA-256,1.0,PoW,17927175.0,21000000.0
ETH,Ethereum,Ethash,1.0,PoW,107684222.7,0.0
LTC,Litecoin,Scrypt,1.0,PoW,63039243.3,84000000.0
DASH,Dash,X11,1.0,PoW/PoS,9031294.4,22000000.0
XMR,Monero,CryptoNight-V7,1.0,PoW,17201143.1,0.0
ETC,Ethereum Classic,Ethash,1.0,PoW,113359703.0,210000000.0
ZEC,ZCash,Equihash,1.0,PoW,7383056.2,21000000.0
BTS,Bitshares,SHA-512,1.0,PoS,2741570000.0,3600570502.0
DGB,DigiByte,Multiple,1.0,PoW,11406219141.0,21000000000.0
BTCD,BitcoinDark,SHA-256,1.0,PoW/PoS,1288862.0,22000000.0
XBS,Bitstake,X11,1.0,PoW/PoS,0.0,1300000.0
XPY,PayCoin,SHA-256,1.0,PoS,11995334.9,12500000.0
PRC,ProsperCoin,Scrypt,1.0,PoW,5768310.0,21000000.0
KOBO,KoboCoin,X15,1.0,PoW/PoS,25542535.6,350000000.0
SPR,Spreadcoin,X11,1.0,PoW,11149734.0,20000000.0
ACOIN,ACoin,SHA-256,1.0,PoW,0.0,1600000.0
AERO,Aero Coin,X13,1.0,PoS,0.0,7000000.0
APEX,ApexCoin,X13,1.0,PoW/PoS,0.0,6000000.0
ARCH,ArchCoin,Scrypt,1.0,PoS,0.0,16403135.0
ARG,Argentum,Scrypt,1.0,PoW,12205795.4,64000000.0
AUR,Aurora Coin,Scrypt,1.0,PoW/PoS,18135100.0,16768584.0
BET,BetaCoin,SHA-256,1.0,PoW,0.0,32000000.0
BLU,BlueCoin,Scrypt,1.0,PoW/PoS,635423900.0,0.0
XMY,MyriadCoin,Multiple,1.0,PoW,1688254250.0,2000000000.0
MOON,MoonCoin,Scrypt,1.0,PoW,88.0,384000000000.0
